"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.891241250E-1,-4.905149689E0,1.519340515E0,9.538764038E0,1.083313936E1
9.991621251E-1,-4.409530334E0,1.455423431E0,8.617579651E0,9.789019061E0
1.009199125E0,-4.255800018E0,1.278491364E0,7.571255493E0,8.778968260E0
1.019237125E0,-4.240382080E0,1.024170227E0,7.473209381E0,8.653243513E0
1.029274125E0,-3.946992188E0,9.355545044E-1,8.104147339E0,9.062627304E0
1.039312125E0,-3.913611603E0,1.745819550E0,9.089248810E0,1.004881513E1
1.049350125E0,-3.501817932E0,2.634222107E0,9.656868439E0,1.060457274E1
1.059387125E0,-3.229833527E0,2.790347443E0,1.002884491E1,1.089933914E1
1.069425125E0,-3.962260437E0,2.731819153E0,9.797875214E0,1.091607541E1
1.079463125E0,-4.972808990E0,2.400558014E0,8.908574524E0,1.048113582E1
1.089500125E0,-4.010759583E0,2.784060516E0,8.881031799E0,1.013458984E1
1.099538125E0,-4.471950531E0,2.637515259E0,6.269712067E0,8.140277495E0
1.109576125E0,-4.456233215E0,2.515219574E0,5.400619354E0,7.439827510E0
1.119613125E0,-4.561913452E0,2.041155396E0,5.484744415E0,7.420228500E0
1.129651125E0,-5.008883972E0,1.885179749E0,5.852978668E0,7.930963411E0
1.139688125E0,-5.219346313E0,1.612895966E0,6.248306580E0,8.299659297E0
1.149726125E0,-5.655688934E0,1.825154572E0,5.585784302E0,8.155917655E0
1.159764125E0,-5.730982361E0,1.747466125E0,4.582869873E0,7.543241541E0
1.169801125E0,-5.154680786E0,1.341360626E0,4.140988770E0,6.746685877E0
1.179839125E0,-5.267845459E0,8.412506104E-2,4.919968872E0,7.208562028E0
1.189877125E0,-5.184169464E0,-2.613565063E-1,4.743036804E0,7.031380973E0
1.199914125E0,-5.028942261E0,-7.343728638E-1,4.314178619E0,6.666460900E0
1.209952125E0,-4.783752136E0,-1.067579956E0,2.991080017E0,5.742000621E0
1.219989125E0,-4.517755280E0,-1.264720001E0,4.297862549E0,6.362487873E0
1.230027125E0,-4.832700348E0,-1.235830078E0,5.342689819E0,7.309350391E0
1.240065125E0,-5.072801056E0,-7.177574158E-1,4.996459808E0,7.156332642E0
1.250102125E0,-6.098617859E0,-7.789801025E-1,3.726351013E0,7.189272680E0
1.260140125E0,-5.664969635E0,-8.334667969E-1,4.880301361E0,7.523555625E0
1.270178125E0,-5.133125610E0,-9.891430664E-1,6.459816742E0,8.310030979E0
1.280215125E0,-4.960983582E0,-1.413211212E0,6.734944611E0,8.483395720E0
1.290253125E0,-4.356839905E0,-1.878144379E0,5.510341187E0,7.271405659E0
1.300290125E0,-4.304598541E0,-2.300266571E0,7.343279572E0,8.817286984E0
1.310328125E0,-4.541406097E0,-2.400408325E0,8.210576019E0,9.685034230E0
