"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.655842333E0,-1.035845947E0,1.457818451E0,9.377100220E0,9.546110202E0
1.665801333E0,-1.018931122E0,1.501826935E0,9.356742554E0,9.531124592E0
1.675761333E0,-9.165440369E-1,1.549278259E0,9.291777649E0,9.464536332E0
1.685721333E0,-8.177494812E-1,1.605112152E0,9.149573364E0,9.325223428E0
1.695681333E0,-7.075785828E-1,1.693578186E0,8.826245728E0,9.015070059E0
1.705640333E0,-5.851332092E-1,1.722617798E0,8.502618713E0,8.695074349E0
1.715600333E0,-3.757186890E-1,1.714833984E0,8.225395203E0,8.410644825E0
1.725560333E0,-1.803749084E-1,1.600172424E0,8.057145081E0,8.216487920E0
1.735519334E0,-1.401086426E-1,1.467697906E0,7.994425507E0,8.129243923E0
1.745479333E0,-4.144880676E-1,1.339564362E0,8.008047180E0,8.129886388E0
1.755439333E0,-7.943980408E-1,1.233435059E0,8.129444733E0,8.260768848E0
1.765399333E0,-9.964778137E-1,1.173559570E0,8.138875122E0,8.283205802E0
1.775358333E0,-1.081950073E0,1.092128906E0,8.052804108E0,8.198232462E0
1.785318333E0,-1.144669647E0,8.993298340E-1,8.006699982E0,8.137954740E0
1.795278333E0,-1.245859222E0,6.640191650E-1,8.089777222E0,8.212038855E0
1.805237334E0,-1.250050507E0,4.348457336E-1,8.100704498E0,8.208113696E0
1.815197333E0,-1.010997620E0,1.435514832E-1,8.150101776E0,8.213822629E0
1.825157333E0,-8.655001831E-1,-2.586621094E-1,8.117020569E0,8.167130437E0
1.835117333E0,-9.301657104E-1,-5.077441406E-1,8.158783722E0,8.227318165E0
1.845076333E0,-1.127754822E0,-6.589297485E-1,8.393046570E0,8.494071466E0
1.855036333E0,-1.540147247E0,-7.074288940E-1,8.515791321E0,8.682811238E0
1.864996333E0,-1.543889465E0,-6.616241455E-1,8.730744324E0,8.890851345E0
1.874955333E0,-1.481319580E0,-7.032376099E-1,9.104367371E0,9.250857044E0
1.884915333E0,-1.547931061E0,-1.059347076E0,9.492360535E0,9.675909018E0
1.894875333E0,-1.879192200E0,-1.523980865E0,9.723330231E0,1.001983192E1
1.904835333E0,-2.312391357E0,-1.891167297E0,9.791139221E0,1.023670234E1
1.914794334E0,-2.404599609E0,-2.005978546E0,9.618847504E0,1.011574399E1
1.924754333E0,-2.176773376E0,-1.820663910E0,9.270072784E0,9.694710353E0
1.934714333E0,-1.951491852E0,-1.421893158E0,8.799900513E0,9.125149294E0
1.944673333E0,-1.792971497E0,-8.674461365E-1,8.385412445E0,8.618720988E0
1.954633333E0,-1.606309662E0,-3.989204407E-1,8.327931976E0,8.490807927E0
1.964593333E0,-1.432521057E0,-2.589614868E-1,8.710236969E0,8.831047825E0
1.974553333E0,-1.549128571E0,-7.765850830E-1,9.134305115E0,9.297226127E0
1.984512333E0,-2.014959869E0,-1.408121796E0,9.383237457E0,9.699897703E0
1.994472333E0,-2.624492340E0,-1.545386353E0,9.592352600E0,1.006426388E1
2.004432333E0,-3.389252014E0,-1.273102570E0,9.458231506E0,1.012748550E1
2.014391333E0,-4.147874451E0,-6.132746887E-1,8.960366821E0,9.892883395E0
2.024351334E0,-4.607269135E0,4.294569397E-1,8.590935059E0,9.757844399E0
2.034311333E0,-4.574038239E0,1.154848480E0,8.393795013E0,9.628670497E0
2.044271333E0,-4.287384338E0,1.237476654E0,8.232430573E0,9.364076359E0
2.054230333E0,-3.839665375E0,9.440867615E-1,8.228688354E0,9.129383442E0
2.064190333E0,-3.174748077E0,4.378395081E-1,8.393046570E0,8.984094808E0
2.074150333E0,-2.619702301E0,-9.131011963E-2,8.486452332E0,8.882063435E0
2.084109333E0,-2.104773102E0,-4.426295471E-1,8.562045135E0,8.828057976E0
2.094069334E0,-2.107617188E0,-5.066963196E-1,8.525072021E0,8.796342668E0
2.104029333E0,-2.634521484E0,-2.302212524E-1,8.391699371E0,8.798540994E0
2.113989333E0,-3.166814575E0,4.989125061E-1,8.391100616E0,8.982660953E0
2.123948333E0,-3.567231903E0,1.446142731E0,8.844657440E0,9.645954462E0
2.133908333E0,-3.721411285E0,1.821861420E0,9.392667847E0,1.026597732E1
2.143867583E0,-3.964954834E0,1.327140198E0,9.493707733E0,1.037365193E1
2.153826583E0,-4.015250244E0,5.387297058E-1,9.333840179E0,1.017511851E1
2.163786583E0,-3.812721405E0,-1.537303162E-1,9.152118073E0,9.915732083E0
2.173746584E0,-3.980372772E0,-6.164181519E-1,8.872499542E0,9.743951297E0
2.183706583E0,-4.186045074E0,-6.397695923E-1,8.577163696E0,9.565564049E0
2.193665583E0,-4.267026672E0,-2.818638611E-1,8.496780853E0,9.512215763E0
2.203625583E0,-4.194577332E0,2.116598511E-1,8.612340546E0,9.581841606E0
2.213585583E0,-4.045038300E0,5.556445312E-1,8.885821838E0,9.779003294E0
2.223544583E0,-3.846401367E0,7.322772217E-1,9.281748505E0,1.007382195E1
