Times (us),interval (us),strain (raw),sensorValue0 (raw)
6479316,12504,2768364,517
6491816,12500,2767879,517
6504316,12500,2767204,517
6516816,12500,2767053,517
6529316,12500,2767357,517
6541816,12500,2767746,516
6554316,12500,2768168,516
6566816,12500,2768499,517
6579320,12504,2767968,517
6591820,12500,2767259,518
6604324,12504,2766859,518
6616828,12504,2766868,518
6629332,12504,2767266,517
6641832,12500,2767735,517
6654336,12504,2768151,517
6666836,12500,2768156,518
6679336,12500,2767235,517
6691836,12500,2766789,518
6704336,12500,2766517,518
6716836,12500,2766722,518
6729336,12500,2767336,518
6741840,12504,2767856,517
6754340,12500,2768033,517
6766840,12500,2767688,517
6779344,12504,2767048,517
6791844,12500,2766470,517
6804344,12500,2766664,517
6816844,12500,2767144,518
6829348,12504,2767892,518
6841848,12500,2768057,518
6854352,12504,2767723,518
6866856,12504,2767086,518
6879356,12500,2766427,518
6891856,12500,2765980,517
6904356,12500,2766261,518
6916856,12500,2766909,518
6929356,12500,2767280,518
6941856,12500,2767456,518
6954356,12500,2766913,517
6966856,12500,2766365,518
6979356,12500,2765813,518
6991856,12500,2765469,517
7004356,12500,2765735,518
7016860,12504,2766741,518
7029360,12500,2767013,518
7041860,12500,2766630,517
7054364,12504,2766097,518
7066864,12500,2765779,518
7079364,12500,2765588,518
7091864,12500,2765979,518
7104364,12500,2766610,518
7116864,12500,2767029,518
7129364,12500,2766423,518
7141864,12500,2766003,518
7154364,12500,2765883,518
7166864,12500,2765692,517
7179368,12504,2765875,517
7191872,12504,2766160,518
7204372,12500,2766458,518
7216872,12500,2766384,517
7229376,12504,2766051,517
7241876,12500,2765792,517
7254376,12500,2766014,517
7266876,12500,2766238,517
7279376,12500,2766146,517
7291876,12500,2765870,517
7304376,12500,2765711,518
7316876,12500,2765722,517
7329376,12500,2765842,517
7341880,12504,2765925,517
7354384,12504,2766254,517
7366884,12500,2766175,517
7379384,12500,2765829,517
7391884,12500,2765385,517
7404388,12504,2765248,517
7416888,12500,2765473,517
7429388,12500,2765752,517
