Times (us),interval (us),strain (raw),sensorValue0 (raw)
5741756,12500,2761826,512
5754256,12500,2766819,513
5766756,12500,2775360,514
5779256,12500,2789235,514
5791756,12500,2794802,515
5804256,12500,2795946,516
5816756,12500,2787166,517
5829256,12500,2775633,518
5841756,12500,2773553,517
5854256,12500,2769138,519
5866756,12500,2767569,520
5879260,12504,2773100,519
5891760,12500,2757521,519
5904260,12500,2754161,520
5916760,12500,2762310,519
5929260,12500,2770309,519
5941760,12500,2767771,519
5954260,12500,2758856,518
5966760,12500,2755665,517
5979264,12504,2762339,518
5991768,12504,2769470,519
6004268,12500,2759447,519
6016768,12500,2756698,519
6029268,12500,2762420,519
6041768,12500,2768511,520
6054272,12504,2766734,519
6066776,12504,2760153,519
6079276,12500,2757715,517
6091784,12508,2762372,518
6104284,12500,2767455,518
6116784,12500,2760641,519
6129284,12500,2758707,520
6141788,12504,2762380,519
6154288,12500,2766428,520
6166792,12504,2765207,520
6179292,12500,2760931,520
6191796,12504,2759597,518
6204296,12500,2762600,519
6216796,12500,2765627,517
6229300,12504,2761760,518
6241804,12504,2760272,519
6254304,12500,2762450,519
6266808,12504,2764966,520
6279308,12500,2764540,518
6291808,12500,2761989,520
6304308,12500,2760597,521
6316808,12500,2762113,518
6329308,12500,2764502,519
6341808,12500,2762323,520
6354308,12500,2761033,521
6366808,12500,2762277,520
6379308,12500,2764307,520
6391816,12508,2764461,518
6404320,12504,2762661,520
6416820,12500,2761392,520
6429320,12500,2762276,517
6441824,12504,2763857,519
6454324,12500,2762440,520
6466824,12500,2761670,519
6479328,12504,2762420,519
6491832,12504,2763636,519
6504332,12500,2763766,514
6516832,12500,2762700,516
6529332,12500,2761969,518
6541836,12504,2762647,518
6554340,12504,2763660,518
6566844,12504,2762890,519
6579344,12500,2762044,519
6591844,12500,2762677,516
6604344,12500,2763673,515
6616844,12500,2763737,518
6629344,12500,2762817,517
6641844,12500,2762405,515
6654344,12500,2762782,517
6666848,12504,2763391,519
6679348,12500,2762886,519
6691848,12500,2762401,517
6704348,12500,2762749,519
6716848,12500,2763123,518
6729348,12500,2763189,518
6741848,12500,2762978,517
6754348,12500,2762791,518
6766848,12500,2762883,518
6779348,12500,2763063,518
6791848,12500,2763057,518
6804348,12500,2762849,518
6816848,12500,2762950,518
6829352,12504,2763154,516
6841852,12500,2763182,515
6854352,12500,2763081,518
6866852,12500,2763167,519
6879356,12504,2763139,519
6891856,12500,2762870,519
6904360,12504,2762744,519
6916864,12504,2762837,519
6929364,12500,2762661,518
6941864,12500,2762732,518
6954364,12500,2762788,518
6966868,12504,2762945,518
6979368,12500,2762978,517
6991868,12500,2762821,517
7004368,12500,2762817,517
7016868,12500,2763100,517
7029368,12500,2763083,516
7041868,12500,2763016,516
7054368,12500,2762794,516
7066868,12500,2762574,516
7079368,12500,2762767,516
7091868,12500,2762994,516
7104368,12500,2763152,515
7116868,12500,2762939,516
7129372,12504,2762513,516
7141872,12500,2762606,516
7154372,12500,2763076,516
7166872,12500,2763397,517
7179372,12500,2762910,516
7191872,12500,2762297,516
7204372,12500,2762485,516
7216876,12504,2763246,516
7229376,12500,2763015,516
7241876,12500,2762282,516
7254380,12504,2762519,516
7266880,12500,2763191,516
7279384,12504,2763545,516
7291884,12500,2763262,516
7304384,12500,2762794,516
7316888,12504,2762661,515
7329388,12500,2763147,517
7341892,12504,2763070,517
7354396,12504,2762490,517
7366900,12504,2762461,517
7379400,12500,2763018,516
7391904,12504,2763512,516
7404408,12504,2763214,517
7416912,12504,2762644,517
7429416,12504,2762835,517
7441920,12504,2763334,517
7454420,12500,2762729,517
7466924,12504,2762573,518
7479424,12500,2762657,518
7491924,12500,2763058,518
7504424,12500,2763040,518
7516924,12500,2762815,519
7529424,12500,2762660,518
7541928,12504,2762525,518
7554428,12500,2762866,518
7566928,12500,2762755,518
7579428,12500,2762569,518
7591932,12504,2762954,518
7604432,12500,2763014,521
7616932,12500,2762927,519
7629432,12500,2762783,519
7641932,12500,2762811,519
7654432,12500,2762814,519
7666936,12504,2762786,519
7679436,12500,2762735,519
7691936,12500,2762676,519
7704436,12500,2762699,519
7716936,12500,2762719,519
7729436,12500,2762730,519
7741936,12500,2762775,519
7754436,12500,2762687,519
7766936,12500,2762690,520
7779436,12500,2762889,520
7791936,12500,2762440,519
7804436,12500,2762495,519
7816936,12500,2762767,519
7829440,12504,2762861,520
7841940,12500,2762820,520
7854440,12500,2762704,518
