Times (us),interval (us),strain (raw),sensorValue0 (raw)
4964284,12500,2762034,530
4976784,12500,2761327,531
4989284,12500,2761723,530
5001788,12504,2762436,530
5014288,12500,2761474,530
5026788,12500,2761772,530
5039288,12500,2762630,530
5051792,12504,2762865,530
5064292,12500,2761872,530
5076796,12504,2761179,529
5089296,12500,2761531,530
5101796,12500,2762443,529
5114296,12500,2762857,529
5126796,12500,2761332,529
5139296,12500,2760983,530
5151800,12504,2762137,530
5164304,12504,2763043,529
5176808,12504,2762292,530
5189308,12500,2760830,530
5201808,12500,2760963,530
5214308,12500,2762761,530
5226808,12500,2763575,530
5239308,12500,2760587,530
5251808,12500,2761520,530
5264312,12504,2763417,530
5276812,12500,2763384,530
5289312,12500,2761515,530
5301812,12500,2760442,530
5314316,12504,2761394,530
5326820,12504,2763103,530
5339320,12500,2763533,530
5351820,12500,2760781,531
5364320,12500,2760913,530
5376820,12500,2762510,530
5389324,12504,2763334,531
5401824,12500,2762483,531
5414324,12500,2760855,531
5426824,12500,2760753,531
5439324,12500,2762483,531
5451824,12500,2763582,531
5464328,12504,2760911,531
5476832,12504,2761034,531
5489332,12500,2762540,531
5501832,12500,2763228,531
5514336,12504,2762328,530
5526836,12500,2760991,530
5539340,12504,2761346,530
5551844,12504,2762396,530
5564344,12500,2762837,530
5576844,12500,2761123,530
5589348,12504,2761521,530
5601848,12500,2762994,530
5614348,12500,2762993,530
5626848,12500,2761315,530
5639348,12500,2760674,530
5651848,12500,2761853,530
5664348,12500,2763030,530
5676852,12504,2762612,530
5689352,12500,2760837,530
5701852,12500,2761665,530
5714352,12500,2762224,530
5726852,12500,2762172,530
5739352,12500,2761830,530
5751852,12500,2761529,530
5764352,12500,2761521,529
5776852,12500,2762014,530
5789352,12500,2762569,530
5801852,12500,2761663,530
5814352,12500,2761270,530
5826856,12504,2761656,530
5839360,12504,2762375,530
5851864,12504,2762437,530
5864364,12500,2761911,530
5876868,12504,2761435,530
5889368,12500,2761462,530
5901868,12500,2762034,530
5914368,12500,2762236,529
5926868,12500,2761851,529
5939372,12504,2761578,530
5951876,12504,2761900,529
5964376,12500,2762187,530
5976876,12500,2762066,530
5989380,12504,2761710,530
6001880,12500,2761495,530
6014384,12504,2761705,530
6026888,12504,2762106,530
6039388,12500,2761701,530
6051888,12500,2761641,530
6064388,12500,2761994,530
6076888,12500,2762115,530
6089388,12500,2761869,530
6101888,12500,2761708,530
6114388,12500,2761772,530
6126888,12500,2761892,530
6139392,12504,2761983,530
6151892,12500,2761760,530
6164392,12500,2761683,530
6176892,12500,2761813,530
6189392,12500,2761808,530
6201896,12504,2761932,530
6214400,12504,2761911,530
6226900,12500,2761867,530
6239400,12500,2761875,530
6251900,12500,2761925,530
6264400,12500,2761820,530
6276900,12500,2761703,530
6289400,12500,2761868,530
6301904,12504,2762002,530
6314404,12500,2761959,530
6326908,12504,2762036,530
6339412,12504,2761756,530
6351912,12500,2761418,530
6364412,12500,2762026,530
6376912,12500,2761993,530
6389416,12504,2761521,530
6401916,12500,2761703,530
6414420,12504,2762226,530
6426920,12500,2762031,530
6439420,12500,2761516,530
6451920,12500,2761453,530
6464424,12504,2761639,530
