Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1988,440,433,427
1992,442,438,433
1996,445,442,437
2000,448,442,436
2004,448,441,434
2008,446,442,437
2012,443,443,441
2016,441,438,435
2020,439,433,427
2024,436,433,428
2028,433,433,432
2032,431,428,426
2036,430,424,419
2040,433,428,423
2044,437,434,430
2048,438,434,430
2052,439,432,427
2056,439,433,428
2060,441,438,433
2064,442,439,435
2068,445,438,432
2072,447,440,433
2076,446,443,439
2080,443,441,439
2084,440,435,431
2088,438,433,427
2092,436,434,430
2096,434,433,432
2100,433,429,425
2104,432,426,420
2108,434,430,425
2112,438,435,431
2116,440,435,430
2120,439,433,427
2124,440,436,431
2128,440,438,435
2132,441,437,432
2136,442,436,430
2140,443,438,432
2144,443,441,437
2148,442,439,436
2152,441,435,430
2156,440,435,430
2160,437,436,434
2164,435,433,431
2168,434,428,424
2172,435,429,424
2176,437,433,429
2180,439,436,433
2184,441,435,430
2188,440,434,428
2192,440,437,433
2196,440,438,435
2200,441,436,431
2204,442,435,429
2208,441,438,433
2212,439,438,436
2216,438,433,430
2220,437,431,425
2224,437,433,428
2228,438,436,434
2232,438,434,431
2236,438,432,425
2240,438,434,428
2244,440,437,434
2248,440,436,433
2252,440,434,428
2256,440,435,430
2260,440,437,434
2264,440,437,434
2268,440,434,429
2272,440,434,428
2276,440,437,433
2280,439,437,434
2284,437,432,427
2288,437,431,425
2292,437,434,430
2296,438,435,433
2300,439,433,428
2304,439,433,426
2308,440,436,431
2312,440,438,436
2316,440,436,432
2320,440,434,427
2324,439,435,431
2328,439,438,435
2332,440,436,432
2336,440,433,427
2340,439,435,430
2344,439,437,434
2348,438,435,432
2352,438,432,426
2356,437,432,426
2360,438,435,432
2364,438,435,432
2368,439,433,427
2372,440,434,428
2376,440,438,434
2380,440,438,435
2384,440,434,429
2388,440,434,428
2392,440,436,433
2396,439,437,435
2400,439,434,430
2404,440,433,427
2408,440,436,432
2412,439,438,435
2416,439,434,430
2420,438,432,426
2424,438,434,430
2428,438,436,434
2432,438,434,431
2436,439,432,426
2440,440,435,429
2444,440,438,435
2448,440,437,434
2452,440,433,428
2456,439,434,429
2460,439,437,434
2464,439,436,433
2468,439,433,427
2472,439,434,428
2476,439,437,433
2480,439,437,435
2484,439,433,429
2488,438,432,426
2492,438,435,431
2496,438,436,434
2500,439,433,428
2504,439,433,426
2508,440,436,432
2512,440,438,435
2516,440,435,430
2520,440,434,427
2524,439,435,431
2528,440,438,435
2532,440,436,432
2536,439,433,427
2540,439,434,429
2544,439,437,435
2548,439,436,432
2552,439,432,426
2556,438,434,429
2560,438,436,433
2564,439,436,433
2568,439,433,427
2572,439,433,427
2576,440,437,433
2580,439,437,434
2584,440,434,428
2588,440,434,427
2592,439,437,433
2596,439,437,435
2600,439,434,429
2604,439,433,427
2608,439,436,432
2612,439,437,435
2616,439,434,430
2620,439,432,426
2624,438,435,430
2628,438,437,434
2632,439,434,430
2636,439,432,426
2640,439,435,430
2644,440,438,435
2648,440,436,433
2652,440,433,427
2656,439,434,428
2660,439,437,434
2664,439,436,434
2668,439,433,427
2672,439,434,428
2676,439,437,434
2680,439,436,434
2684,439,433,427
2688,439,433,427
2692,439,436,432
2696,439,437,435
2700,439,434,429
2704,439,432,426
2708,439,436,432
2712,439,437,435
2716,439,434,430
2720,439,433,426
2724,439,436,431
2728,439,437,435
2732,439,435,432
2736,439,433,426
2740,439,435,429
2744,439,437,435
2748,439,436,433
2752,439,433,427
2756,439,434,429
2760,439,437,434
2764,439,436,433
2768,439,433,427
2772,439,434,428
2776,439,437,433
2780,439,437,434
2784,439,434,429
2788,439,433,427
2792,440,437,433
2796,439,437,435
2800,439,434,429
2804,439,433,427
2808,439,436,432
2812,439,437,435
2816,439,434,430
2820,439,432,426
2824,439,435,430
2828,439,437,435
2832,439,435,431
2836,439,432,426
2840,439,435,430
2844,439,438,435
2848,439,435,432
2852,439,433,427
2856,439,435,430
2860,439,437,434
2864,439,436,434
2868,439,433,428
2872,439,434,428
2876,439,436,433
2880,439,436,434
2884,439,433,428
2888,439,433,427
