"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.615255500E0,6.570436707E0,1.797761536E0,9.947713623E0,1.205651655E1
1.625225500E0,6.162085876E0,1.592538300E0,1.011356873E1,1.194955032E1
1.635194500E0,5.492677917E0,1.055754547E0,1.023541534E1,1.166395540E1
1.645164500E0,5.360502777E0,9.410929871E-1,1.013542328E1,1.150423622E1
1.655134500E0,5.455255737E0,1.049617310E0,9.729467468E0,1.120375155E1
1.665103500E0,5.441334686E0,1.088686066E0,8.918903046E0,1.050429398E1
1.675073500E0,5.215903473E0,1.091081085E0,8.046217804E0,9.650788979E0
1.685043500E0,4.956642609E0,1.124611359E0,7.632927246E0,9.170312699E0
1.695012500E0,4.688849487E0,1.040037231E0,7.524402924E0,8.926568563E0
1.704982500E0,4.630021820E0,7.122189331E-1,7.112609253E0,8.516664150E0
1.714952500E0,4.423451385E0,7.927514648E-1,6.684649200E0,8.054806762E0
1.724921500E0,4.393214264E0,8.878038025E-1,6.224206696E0,7.670024521E0
1.734891500E0,4.341421967E0,9.156459045E-1,5.719606018E0,7.238801359E0
1.744861500E0,4.343667297E0,1.077309723E0,5.472919006E0,7.069715997E0
1.754831500E0,4.203408966E0,1.061592407E0,5.406756592E0,6.930269996E0
1.764800500E0,3.719615021E0,1.197659454E0,5.445975037E0,6.702877604E0
1.774770500E0,3.524420929E0,1.239422607E0,5.309309235E0,6.492031718E0
1.784740500E0,3.127296753E0,1.197509766E0,5.165757751E0,6.156221874E0
1.794709500E0,3.179837494E0,1.516945496E0,5.081483002E0,6.183361515E0
1.804679500E0,2.950065308E0,1.605710907E0,5.071304169E0,6.082706536E0
1.814649500E0,2.625689850E0,1.678160248E0,5.200186157E0,6.062376190E0
1.824618500E0,2.506238251E0,1.912872162E0,5.114564209E0,6.008250754E0
1.834588500E0,2.179916840E0,2.038910065E0,4.830005951E0,5.677864842E0
1.844558500E0,2.019600220E0,2.277962952E0,4.528083801E0,5.456321395E0
1.854527500E0,1.773961029E0,2.500400391E0,4.439917145E0,5.395535571E0
1.864497500E0,1.507365417E0,2.711611176E0,4.294120331E0,5.297589554E0
1.874467500E0,1.424737244E0,2.877466278E0,4.274810486E0,5.346371955E0
1.884436500E0,1.286125488E0,3.065924377E0,4.595743103E0,5.672289285E0
1.894406500E0,9.857002258E-1,3.178041229E0,4.917873230E0,5.937762886E0
1.904376500E0,6.915618896E-1,3.436703339E0,5.039570160E0,6.138929474E0
