"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.477891458E0,-2.934647369E0,-3.556604004E0,8.984466705E0,1.009862511E1
1.487927458E0,-2.990780640E0,-3.501368866E0,9.059161377E0,1.016232048E1
1.497964458E0,-2.829565887E0,-3.334915009E0,9.189091187E0,1.017681178E1
1.508001458E0,-2.655477905E0,-3.222648468E0,9.093589783E0,1.000651794E1
1.518038458E0,-2.528392181E0,-3.092119904E0,9.008566589E0,9.854351552E0
1.528075458E0,-2.315834198E0,-2.919379120E0,8.989406433E0,9.731150523E0
1.538112458E0,-2.131268005E0,-2.872526550E0,8.841364288E0,9.537475272E0
1.548149458E0,-1.984872437E0,-2.771786041E0,8.773704987E0,9.412779379E0
1.558186458E0,-1.938019867E0,-2.571951599E0,8.612190857E0,9.194600991E0
1.568223458E0,-2.059716797E0,-2.487227783E0,8.597970428E0,9.184434159E0
1.578260458E0,-2.222428436E0,-2.539319458E0,8.705746307E0,9.336881183E0
1.588297458E0,-2.290836182E0,-2.700534210E0,8.866362305E0,9.547418287E0
1.598334458E0,-1.986369324E0,-2.585273895E0,9.384884033E0,9.935056745E0
1.608371458E0,-1.735191650E0,-2.493664398E0,9.263037415E0,9.748492926E0
1.618408458E0,-1.720073090E0,-2.259251862E0,9.491612091E0,9.907248382E0
1.628445458E0,-1.848655701E0,-1.877545624E0,9.604926453E0,9.959785019E0
1.638482458E0,-2.315983887E0,-1.818418579E0,9.169781342E0,9.630956201E0
1.648519458E0,-2.779120789E0,-1.914668427E0,8.800798645E0,9.425684290E0
1.658556458E0,-3.081492004E0,-1.957180023E0,8.461005249E0,9.214920317E0
1.668593458E0,-3.160078583E0,-2.131417694E0,8.124804382E0,8.974490754E0
1.678630458E0,-2.903212738E0,-2.276765442E0,7.929011536E0,8.745371862E0
1.688667458E0,-2.671644287E0,-2.308200073E0,7.883805542E0,8.638278798E0
1.698705708E0,-2.473007355E0,-2.105072479E0,8.460107117E0,9.062036633E0
1.708742708E0,-2.556833038E0,-1.747166748E0,8.919052734E0,9.441371114E0
1.718779708E0,-2.737956390E0,-1.571881256E0,8.869505768E0,9.414634801E0
1.728816708E0,-3.038830719E0,-1.776206360E0,8.611741791E0,9.303305748E0
1.738853708E0,-3.052302704E0,-2.149679718E0,8.122259674E0,8.939170929E0
1.748890708E0,-2.890040131E0,-2.789449310E0,7.382947083E0,8.404835931E0
1.758927708E0,-2.439327393E0,-3.097808075E0,7.256310425E0,8.258375989E0
1.768964708E0,-1.668131104E0,-2.872376862E0,7.396419067E0,8.108034610E0
1.779001708E0,-9.837542725E-1,-2.761607208E0,7.296726379E0,7.863616388E0
1.789038708E0,-5.252577209E-1,-2.658022614E0,7.274871826E0,7.763036775E0
1.799075708E0,-2.282752991E-1,-2.816692657E0,7.511829071E0,8.025798598E0
1.809112708E0,-1.239422607E-1,-3.381318512E0,8.094417572E0,8.773156353E0
1.819149708E0,-8.008346558E-2,-3.985312500E0,9.058113556E0,9.896390770E0
1.829186708E0,5.126838684E-1,-3.921245728E0,1.016072067E1,1.090317648E1
1.839222708E0,9.894424438E-1,-4.368216248E0,9.255253601E0,1.028202455E1
1.849259708E0,1.096320190E0,-4.713398438E0,8.356522522E0,9.656578662E0
1.859296708E0,1.042282562E0,-4.940476227E0,7.818840637E0,9.307466207E0
1.869333708E0,1.800006866E0,-5.562732239E0,8.083639984E0,9.976434738E0
1.879370708E0,2.342478790E0,-5.665269012E0,8.230933685E0,1.026307698E1
1.889407708E0,1.677711182E0,-4.179608459E0,9.556127930E0,1.056425211E1
1.899444708E0,6.502478027E-1,-3.458707581E0,9.658814392E0,1.027998910E1
1.909481708E0,3.143463135E-3,-4.593797150E0,8.658893738E0,9.802011166E0
1.919518708E0,1.121168518E-1,-5.450615387E0,8.039182434E0,9.713404784E0
1.929555708E0,2.790197754E-1,-6.161337433E0,8.498726807E0,1.050087084E1
1.939592708E0,-3.397933960E-1,-6.566095734E0,9.107810211E0,1.123304409E1
1.949629708E0,-7.047344971E-1,-6.428382111E0,1.020802231E1,1.208405837E1
1.959666708E0,-3.939807129E-1,-5.324876862E0,1.126108246E1,1.246280516E1
1.969703708E0,-1.875599670E-1,-4.628375244E0,1.073986633E1,1.169622867E1
1.979740708E0,-3.296145630E-1,-4.695884857E0,9.796677704E0,1.086898682E1
1.989777708E0,-8.027806091E-1,-4.991669769E0,8.771309967E0,1.012408526E1
1.999814708E0,-9.970765686E-1,-5.494474182E0,7.927215271E0,9.696605085E0
